0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
11,/mauricio/profil/spieler/67864,Maurício,Maurício,/mauricio/profil/spieler/67864,Maurício,Centre-Back,26,€5.00m,Brazil,/sporting-lissabon/startseite/verein/336/saison_id/2014,,/sporting-lissabon/startseite/verein/336/saison_id/2014,,/sporting-lissabon/startseite/verein/336/saison_id/2014,Sporting CP,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/lazio-rom/startseite/verein/398/saison_id/2014,,/lazio-rom/startseite/verein/398/saison_id/2014,,/lazio-rom/startseite/verein/398/saison_id/2014,Lazio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,loan transfer
12,/marcio-azevedo/profil/spieler/55484,Márcio Azevedo,Márcio Azevedo,/marcio-azevedo/profil/spieler/55484,Márcio Azevedo,Left-Back,28,€4.50m,Brazil,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,Metalist Kharkiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,Shakhtar D.,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,€4.00m
13,/egidio/profil/spieler/54419,Egídio,Egídio,/egidio/profil/spieler/54419,Egídio,Left-Back,28,€4.50m,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,Dnipro,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,€2.25m
14,/rever/profil/spieler/72489,Réver,Réver,/rever/profil/spieler/72489,Réver,Centre-Back,30,€4.50m,Brazil,/clube-atletico-mineiro/startseite/verein/330/saison_id/2014,,/clube-atletico-mineiro/startseite/verein/330/saison_id/2014,,/clube-atletico-mineiro/startseite/verein/330/saison_id/2014,Atlético-MG,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,€1.80m
15,/fabricio/profil/spieler/54140,Fabrício,Fabrício,/fabricio/profil/spieler/54140,Fabrício,Left-Back,28,€4.50m,Brazil,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,loan transfer
16,/egidio/profil/spieler/54419,Egídio,Egídio,/egidio/profil/spieler/54419,Egídio,Left-Back,28,€4.50m,Brazil,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,Dnipro,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
17,/douglas/profil/spieler/58426,Douglas,Douglas,/douglas/profil/spieler/58426,Douglas,Right-Back,24,€2.00m,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-barcelona/startseite/verein/131/saison_id/2014,,/fc-barcelona/startseite/verein/131/saison_id/2014,,/fc-barcelona/startseite/verein/131/saison_id/2014,Barcelona,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,€4.00m
18,/paulo-vinicius/profil/spieler/45025,Paulo Vinícius,Paulo Vinícius,/paulo-vinicius/profil/spieler/45025,Paulo Vinícius,Centre-Back,29,€4.00m,Brazil,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/operario-futebol-clube-ltda-mt-/startseite/verein/32542/saison_id/2014,,/operario-futebol-clube-ltda-mt-/startseite/verein/32542/saison_id/2014,,/operario-futebol-clube-ltda-mt-/startseite/verein/32542/saison_id/2014,Operário-MT,Brazil,free transfer,
19,/wallace-oliveira/profil/spieler/181779,Wallace Oliveira,Wallace Oliveira,/wallace-oliveira/profil/spieler/181779,Wallace Oliveira,Right-Back,20,€4.00m,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/vitesse-arnheim/startseite/verein/499/saison_id/2014,,/vitesse-arnheim/startseite/verein/499/saison_id/2014,,/vitesse-arnheim/startseite/verein/499/saison_id/2014,Vitesse,/eredivisie/transfers/wettbewerb/NL1/saison_id/2014,Eredivisie,loan transfer
20,/dodo/profil/spieler/109038,Dodô,Dodô,/dodo/profil/spieler/109038,Dodô,Left-Back,22,€3.50m,Brazil,/as-rom/startseite/verein/12/saison_id/2014,,/as-rom/startseite/verein/12/saison_id/2014,,/as-rom/startseite/verein/12/saison_id/2014,AS Roma,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,/inter-mailand/startseite/verein/46/saison_id/2014,,/inter-mailand/startseite/verein/46/saison_id/2014,,/inter-mailand/startseite/verein/46/saison_id/2014,Inter,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,Loan fee:€1.20m
