ID,Vítima,Clube_Vit,UID_TMK,Tipo,Título,Fato,Desdobramentos,Como Terminou,Onde,Ambiente,Data,Jogo,Campeonato,Programa,Emissora,Cidade,Espaço,Tipo de Agressão
57.2023,Gabigol," Gabriel Barbosa Almeida, atleta do Clube de Regatas do Flamengo",244275,Racismo,"Gabigol, Gabriel Barbosa Almeida, atleta do Clube de Regatas do Flamengo","Durante a comemoração da classificação pelos jogadores do Flamengo, o atacante Gabigol foi alvo de um insulto racista, sendo chamado de “macaco” por um torcedor do Atlético.","Um vídeo que capturou o incidente foi divulgado no X (antigo Twitter) pelo perfil Coluna do Fla. O caso não foi registrado em súmula, e não há informações sobre ele ter sido levado ao conhecimento do Superior Tribunal de Justiça Desportiva (STJD) ou dos clubes envolvidos.",O caso não teve sequência.,Estádio Mário Celso Petraglia (Ligga Arena),Físico,12/07/23,Athletico-PR X Flamengo,Copa do Brasil,,,Curitiba/PR,,
58.2019,Mario Balotelli," atleta italiano , sofre  comentário ofensivo  de André Henning, do Esporte Interativo",45146,Racismo,"Mario Balotelli, atleta italiano , sofre  comentário ofensivo  de André Henning, do Esporte Interativo","O narrador André Henning, foi acusado de racismo após escrever em um post no seu perfil de que o italiano Mario Balotelli “ia aparecer mais nas páginas policiais que nas esportivas”, caso fosse contratado para jogar no Brasil.","Após a acusação de racismo entre os seguidores, André Henning explicou o que quis dizer e mudou algumas palavras de sua primeira frase. “Vocês entenderam bem o que eu quis dizer, mas já que escolhi a palavra errada e é sempre melhor desenhar, então corrijo sem drama, ia aparecer mais nas páginas “problemáticas” do que nas esportivas.”",Não encontramos informações de qualquer providencia ter sido tomada por parte da emissora.,Internet – Twitter,Internet,15/08/19,,,,,,,
58.2021,Celsinho," Celso Luís Honorato Júnior, Atleta do Londrina Esporte Clube",36365,Racismo,"Celsinho, Celso Luís Honorato Júnior, Atleta do Londrina Esporte Clube","O jogador Celsinho, do Londrina EC foi alvo de insultos racistas pelo comentarista da rádio de Goiânia que disse “negócio imundo”, em referência ao cabelo de Celsinho","O Londrina emitiu uma nota de repúdio “O Londrina vem a público manifestar o seu profundo repúdio quanto ao ato de racismo praticado pelo narrador Romes Xavier e o comentarista Vinicius Silva, da Rádio Bandeirantes Goiânia “e completou “Racismo não!”. Outros clubes se solidarizaram com Celsinho. No jogo seguinte ao fato, os jogadores do Londrina protestaram se ajoelhando no gramado e erguendo o punho, uma manifestação antirracista.","Os radialistas usaram às redes sociais para se desculpar pelos comentários, entretanto, ambos foram demitidos. O 2ª Departamento de Polícia da Polícia Civil de Goiás passou a investigar. Não foram encontradas mais informações sobre o caso.",Transmissão de rádio (narração de jogo),Mídia,17/07/21,Goiás x Londrina,Brasileiro Série B,,,,,
58.2022,Indefinido, Atleta da Equipe Athlos,,Racismo,"Indefinido, Atleta da Equipe Athlos",Um jogador (não identificado) do Solvive se dirigiu a um atleta do Athlos fazendo gestos em referência a um macaco.,"Foi realizado um Boletim de Ocorrência (BO) e nele consta que o fato foi reportado ao árbitro da partida e aos policiais militares presentes no local, mas a situação foi ignorada por ambos. O treinador da equipe do Athlos, Leonardo Pasolini, ao ter conhecimento do fato retirou sua equipe de campo.","Não foram encontradas mais informações sobre a investigação do caso. Por ser um caso do âmbito criminal, ele corre em segredo de justiça, sem ter como se obter informações do seu desenrolar.",Estádio Municipal de Barra de São Francisco,Físico,20/07/22,Athlos/Aert x Solvive,Copa A Gazetinha (Sub-16),,,Barra de São Francisco/ES,,
59.2021,Celsinho," Celso Luís Honorato Júnior, Atleta Londrina Esporte Clube",36365,Racismo,"Celsinho, Celso Luís Honorato Júnior, Atleta Londrina Esporte Clube","Durante a partida, o narrador Cláudio Guimarães, da Rádio Clube do Pará, narrou um lance de Celsinho se referindo ao seu cabelo “com seu cabelo meio ninho de cupim para bater na bola”","Tanto o Londrina, quanto o Remo se manifestaram nas suas redes sociais repudiando o comentário do narrador. Torcedores foram até o perfil da rádio paraense cobrando uma atitude, a emissora decidiu afastar o radialista e emitiu uma nota “A Direção da Rádio Clube do Pará repudia as palavras proferidas pelo radialista Cláudio Guimarães a respeito do jogador Celsinho durante a transmissão do jogo entre Londrina e Clube do Remo”. Em entrevista, Celsinho fala sobre os casos de racismo que sofreu em jogos do Londrina “Não passará impune!”",A rádio Clube do Pará afastou o radialista Cláudio Guimarães após falas racistas. Não foram encontradas mais informações sobre o caso.,Transmissão de rádio (narração de jogo),Mídia,23/07/21,Londrina x Remo,Brasileiro Série B,,,,,
6.2014,Paulão,Internacional-RS,128855,Racismo,Atleta Paulão,"Zagueiro Paulão, do Internacional, afirma que torcedor gremista fez sons de macaco ao final da partida para ele, em Gre-Nal realizado na Arena do Grêmio.",,Grêmio foi multado em R$ 80 mil. Recorreu e pena foi reduzida para pagamento de R$ 15 mil.,,,30/03/14,,Campeonato Gaúcho (RS),,,,,
6.2015,Júnior Paraíba,URT - União Recreativa dos Trabalhadores,158870,Racismo,"Júnior Paraíba, , URT - União Recreativa dos Trabalhadores","O atleta afirmou que o árbitro da partida, Ronei Cândido Alves, o chamou de “macaco”.",,"O atleta Júnior Paraíba decidiu não fazer Boletim de Ocorrência (B.O.) contra o árbitro. Para o TJD da Federação Mineira de Futebol, o árbitro foi absolvido. Já o atleta pegou um jogo de suspensão com base no artigo 221 do Código Brasileiro de Justiça de Desportiva (CBJD), que prevê punição por ""dar causa, por erro grosseiro ou sentimento pessoal, à instauração de inquérito ou processo na Justiça Desportiva"".",,Físico,22/02/15,URT x Vila Nova,Campeonato Mineiro,,,,,
6.2016,Gabriel Jesus,S.E. Palmeiras,363205,Racismo,Gabriel Jesus – S.E. Palmeiras,Gabriel Jesus foi alvo de racismo durante jogo do Palmeiras no Uruguai.,,Nacional é multado por gestos racistas de torcedor contra Gabriel Jesus. Clube uruguaio recebeu sanção da Conmebol (Confederação Sul-Americana de Futebol) a pagar o valor de US$ 10 mil dólares (aproximadamente R$ 37 mil).,,Físico,17/03/16,Nacional x Palmeiras –,Copa Libertadores da América,,,,,
6.2018,Helinho," Hélio Júnio Nunes de Castro, atleta do São Paulo Futebol Clube",412365,Racismo,"Helinho, Hélio Júnio Nunes de Castro, atleta do São Paulo Futebol Clube","O atacante Helinho, do time sub-20 do São Paulo, foi alvo de injúrias raciais durante o duelo com o Nacional-URU, no Estádio Centenário, em Montevidéu, pela semifinal da Copa Libertadores. Enquanto o garoto de 17 anos caminhava para cobrar um escanteio, aos 20 minutos do primeiro tempo, um torcedor o chamou de “macaco” duas vezes.",São Paulo divulga “Nota de Repúdio” e informou que “buscará as medidas judiciais cabíveis”.,Não encontramos informações de advertência ou punição da CONMEBOL.,Estádio Centenário (Uruguai),Físico,21/02/18,Nacional-URU X São Paulo,Copa Libertadores Sub-20,,,,,
6.2019,Eduardo, atleta da Associação Chapecoense de Futebol,32555,Racismo,"Eduardo, atleta da Associação Chapecoense de Futebol","Eduardo, lateral da Chapecoense, foi chamado de macaco por torcedor do Criciúma. Jogador relatou caso de injúria. O atleta não registrou Boletim de Ocorrência (B.O.). O fato também não foi relatado em súmula pelo árbitro da partida Leandro Vuaden.","Em nota oficial, a Chapecoense lamentou o acontecido e prometeu tomar medidas dizendo que “não ficará inerte diante deste ocorrido e lutará para que todas as medidas cabíveis sejam tomadas. Racismo não é normal e essa atitude não passará”. Relatou ainda que a atitude lamentável partiu de apenas um torcedor do Criciúma e que esse “não representa em nada os torcedores carvoeiros”. Em relação ao incidente na partida a Procuradoria solicitou esclarecimento aos envolvidos, atleta e clubes.",Não foram encontradas informações sobre a conclusão do caso.,Estádio Heriberto Hülse,Físico,10/04/19,Criciúma x Chapecoense,Copa do Brasil,,,Criciúma/SC,,
6.2021,Tatuí," Ivanilson da Silva Gabriel, atleta do União Cacoalense",,Racismo,"Tatuí, Ivanilson da Silva Gabriel, atleta do União Cacoalense","Ao final da partida entre Guaporé e União Cacoalense, o atleta Ivanilson da Silva Gabriel (Tatuí), foi à 1ª delegacia de Polícia Civil de Rolim de Moura para registrar um boletim de ocorrência de racismo, preconceito e discriminação","Segundo o registro da delegacia, Tatuí relatou que após uma discussão com o gandula que demorou em repor a bola, um homem na arquibancada se dirigiu a ele mandando que ele se calasse e o chamando de “preto” e “crioulo”. Na ocorrência, o agressor foi identificado como diretor do Guaporé. A Polícia Civil de Rolim de Moura ficou encarregada de investigar o caso",Não foram encontradas mais informações sobre a investigação do caso.,Estádio Municipal Angelo Cassol,Físico,09/05/21,Guaporé x União Cacoalense,Rondoniense,,,Rolim de Moura/RO,,
6.2022,Luiz Henrique dos Santos Júnior, atleta do Esporte Clube Bahia,703319,Racismo,"Luiz Henrique dos Santos Júnior, atleta do Esporte Clube Bahia","Enquanto os atletas faziam o aquecimento em campo, um torcedor gritou para o jogador Luiz Henrique “Cabelo feio da d...”, em referência ao cabelo Black Power do atleta.","O vídeo viralizou nas redes sociais. O Bahia, em comunicado, repudiou o caso e disse que acionou a Arena Fonte Nova na busca de imagens para identificar os envolvidos. Em novo comunicado, o clube informou que identificou os sócios e enviou representação à Comissão de Ética contra os dois, que responderiam a um processo disciplinar com possível punição e seriam convidados a uma imersão socioeducativa sobre racismo estrutural do projeto “Dedo Na Ferida”. Além disso, disse ainda que estavam prestando suporte jurídico ao jogador, que não havia decidido se prestaria queixa. Um dos torcedores envolvidos se retratou pelo caso, alegando que foi uma “brincadeira de mau gosto”. Por ter acontecido antes do começo da partida, o fato não consta na súmula.","Não foram encontradas mais informações sobre o caso, tão pouco se o atleta registrou Boletim de Ocorrência (BO) e se ocorreu a imersão socioeducativa.",Itaipava Arena Fonte Nova,Físico,16/02/22,Bahia x CSA,Copa do Nordeste,,,Salvador/BA,,
60.2019,Lincoln, atleta do Clube de Regatas do Flamengo,372046,Racismo,"Lincoln, atleta do Clube de Regatas do Flamengo","O zagueiro Matheus Thuler, do Flamengo, chamou o atacante Lincoln, seu companheiro no clube carioca, de “macaco” em uma ligação em vídeo na internet.","O vídeo repercutiu negativamente nas redes sociais. Após vários torcedores reclamarem da declaração de cunho racista, Thuler publicou em seus perfis nas redes sociais uma foto ao lado de Lincoln, afirmando que se tratava de uma “brincadeira” e pedia desculpas.","Lincoln aceitou o pedido de desculpas, inclusive usou a sua rede social para aceitar o pedido de desculpas. Nenhuma ação foi tomada.",Internet – Instagram,Internet,29/12/19,,,,,,,
60.2023,Bryan Grabriel Fernandes," Wellissol Santos de Oliveira e Bruno Gabriel Ferreira De Souza Lopes Da Silva, atletas e preparador físico do Independente Futebol São Joseense",,Racismo,"Bryan Grabriel Fernandes, Wellissol Santos de Oliveira e Bruno Gabriel Ferreira De Souza Lopes Da Silva, atletas e preparador físico do Independente Futebol São Joseense","Os jogadores Brayan e Wellissol, e o preparador físico Bruno Souza, do São Joseense, foram chamados de “macaco” por um torcedor do Caxias. Os jogadores e o preparador físico acionaram a Brigada Militar para denunciar a ofensa.","O torcedor foi identificado e encaminhado a delegacia, o mesmo prestou depoimento e foi liberado. O caso foi registrado pela polícia como suspeita de injúria racial. Em nota o São Joseense repudiou o caso e informou que após a partida, as vítimas foram conduzidas até a delegacia, onde foi registrado um boletim de ocorrência. Em nota, o Caxias repudiou o ato e informou que estava à disposição das autoridades para auxiliar no esclarecimento dos fatos. O caso não foi registrado na súmula da partida.","Não foram encontradas informações de que o caso tenha sido noticiado à Justiça Desportiva. Em relação ao boletim de ocorrência, por se tratar de um caso de âmbito criminal, corre em segredo de justiça, impossibilitando a obtenção de informações sobre seu desenrolar.",Estádio Francisco Stédile (Centenário),Físico,22/07/23,Caxias x São Joseense,Brasileiro - Série D,,,Caxias do Sul/RS,,
