ID,Vítima,Clube_Vit,UID_TMK,Tipo,Título,Fato,Desdobramentos,Como Terminou,Onde,Ambiente,Data,Jogo,Campeonato,Programa,Emissora,Cidade,Espaço,Tipo de Agressão
01.2020,Wallyson,atleta do ABC Futebol Clube,68465,Racismo,"Wallyson,atleta do ABC Futebol Clube","Através das redes sociais do fotógrafo Luciano Marcos, o atacante Wallyson acusa o goleiro Ferreira, do Força e Luz, de têlo chamado de macaco durante a partida.",O narrador Marcos Lopes disse em seu perfil no twitter que a Procuradoria do Tribunal de Justiça Desportiva do Rio Grande do Norte (TJD/RN) iria apurar a denúncia de Wallyson contra Ferreira,Não foram encontradas informações se houve investigação sobre o caso. Não constam informações no site do TJD/RN,Estádio Maria Lamas Farache (Frasqueirão),Físico,09/01/20,ABC x Força e Luz,Copa Cidade do Natal,,,Natal/RN,,
01/2014,Paulão," atleta Paulo Marcos de Jesus Ribeiro, do Sport Club Internacional",128855,Racismo,"Paulão, atleta Paulo Marcos de Jesus Ribeiro, do Sport Club Internacional","O zagueiro Paulão, falou que sua mãe e seu irmão, escutaram insultos racistas contra o atleta, em partida no estádio Beira-Rio. “No jogo anterior (a Inter e Goiás), minha mãe estava no camarote (do Beira-Rio) com o meu irmão, Paulinho. Não lembro se eu errei, e começaram a me xingar “macaco, seu preto”. E meu irmão disse “pô, respeita ao menos a mãe dele, que está aqui. Xinga o time, e não ele”. Fiquei sabendo. Fiz o gol (de bicicleta, no Goiás) e não comemorei por isso. Imagina? A tua mãe está no teu trabalho, as pessoas estão te agredindo. É normal, ela sabe da minha profi ssão, sabe que serei xingado. Mas é triste. As pessoas falaram que eu estava contra o time, quando fi z o gol e não comemorei, mas não foi nada disso.”.",O fato foi relatado pelo jogador em entrevista realizada ao jornal Zero Hora em 19/03/2016.,Caso não teve sequência.,Estádio José Pinheiro Borda (Beira-Rio),Físico,25/10/14,Internacional x Bahia,Brasileiro,,,Porto Alegre/RS,Estádio,
02.2020,Serjão, atleta do Barbalha Futebol Clube,789428,Racismo,"Serjão, atleta do Barbalha Futebol Clube",O goleiro Serjão pediu ao árbitro da partida para paralisar o jogo por ter sido chamado de “macaco” pela torcida adversária,"A situação foi relatada em súmula pelo árbitro Raimundo Rodrigues. Através das redes sociais, a diretoria do Caucaia se manifestou em solidariedade ao goleiro adversário. Segundo a instituição, a Polícia Militar foi convocada para a identificação do autor do crime, além de garantir a integridade do atleta Serjão. A diretoria do Barbalha utilizou as redes sociais para cobrar um posicionamento da Federação Cearense de Futebol (FCF) sobre o ocorrido. Promovendo uma campanha com a hashtag somostodosiguais, a equipe reiterou que a comissão técnica e a torcida organizada da Raposa se solidarizavam com o atleta.","Serjão não prestou Boletim de Ocorrência (BO) na delegacia de plantão do município de Caucaia. Sem a formalização da denúncia, a polícia não pôde concluir as investigações. Não foram encontradas informações sobre alguma ação promovida pela Federação Cearense de Futebol (FCF).",Estádio Raimundo de Oliveira (Raimundão),Físico,19/01/20,Caucaia x Barbalha,Cearense,,,Caucaia/CE,,
03.2020,Eduardo Bauermann, atleta do América Futebol Clube,294804,Racismo,"Eduardo Bauermann, atleta do América Futebol Clube","Um integrante da Seita Verde, torcida organizada do Coelho (América), reproduziu ofensas racistas direcionadas ao zagueiro Eduardo Bauermann","Em nota o clube repudiou o ocorrido e enalteceu a ação de alguns torcedores, que retiraram o agressor. Integrantes da própria organizada se mobilizaram no momento e foram até a Polícia Militar.",Eduardo não registrou boletim de ocorrência e assim o torcedor não foi detido. A Seita Verde identificou e expulsou o torcedor após o xingamento racista.,Arena Independência,Físico,23/01/20,América x Caldense,Mineiro,,,Belo Horizonte/MG,,
04/2019,Marcelo Benevenuto, atleta do Botafogo de Futebol e Regatas,476339,Racismo,"Marcelo Benevenuto, atleta do Botafogo de Futebol e Regatas","Em entrevista ao “Canal do TF”, o zagueiro Marcelo Benevenuto, do Botafogo, acusou o atacante Maxi López (então atleta do Vasco da Gama) de tê-lo chamado de “preto de m*”. A acusação aconteceu um ano após o incidente.","O argentino Maxi López, acusado de racismo, negou o fato e publicou fotos com jogadores negros.",O fato não teve sequência.,Estádio Nilton Santos (Engenhão),Físico,23/02/19,Botafogo x Vasco,Taça Rio,,,Rio de Janeiro/RJ,Estádio,
05.2020,Alexander,atleta do Clube de Regatas Vascoda Gama,668799,Racismo,"Alexander,atleta do Clube de Regatas Vascoda Gama",O goleiro reserva do Vasco sofreu insultos racistas da torcida boliviana.,"Alexander estava no banco de reservas e ouviu gritos da torcida do Oriente Petrolero. Devido aos gestos e insultos direcionados ao goleiro Alexander no final do segundo tempo e flagrados pelas câmeras de televisão, um grupo de jogadores vascaínos se dirigiu ao árbitro para reclamar e acabaram sendo advertidos. Após reclamação, o árbitro puniu o zagueiro vascaíno Ricardo Graça com cartão amarelo. Através do Twitter oficial do Vasco, o clube repudiou o episódio. Além disso, os cariocas informaram que enviariam uma carta à CONMEBOL pelo racismo sofrido na Bolívia.",Não foram encontrados registros de abertura de processo pela CONMEBOL.,Estádio Ramón Tahuichi Aguilera,Físico,19/02/20,Oriente Petrolero x Vasco,Copa Sul-Americana,,,Santa Cruz de la Sierra/BOLÍVIA,,
05/2019,Marcos Cândido, atleta do Saraiva (futebol amador),,Racismo,"Marcos Cândido, atleta do Saraiva (futebol amador)","O atleta de futebol amador Marcos Cândido, de 26 anos, afirmou ter sido vítima de racismo.","Na súmula da partida, o árbitro confirmou que houve o crime e relatou toda a briga que ocorreu após o xingamento. De acordo com o texto, a vítima de racismo teria dado um pontapé no jogador de Guia Lopes que supostamente o ofendeu, que em seguida caiu no chão e recebeu novamente um chute na região da cabeça de outro jogador do Saraiva. Marcos Cândido falou ao término da partida de que faria o registro de um Boletim de Ocorrência (BO) no dia seguinte.","Segundo a organização da competição, através do seu representante Julio Cesar Souza da Silva, “não houve caso de racismo na partida e os atletas do time do Saraiva estão fazendo tal afirmação para tentar escapar de punição.”. O mesmo ainda informou que fariam um BO contra as pessoas que estavam fazendo essa falsa acusação por calúnia e difamação. Não foram encontradas mais informações sobre o desenrolar do caso.",Estádio da Cidade,Físico,17/11/19,Guia Lopes da Laguna x Saraiva,Liga Terrão da UEFA MS,,,Campo Grande/MS,Estádio,
06.2020,Léo Pereira, atleta da Associação Portuguesa de Desportos,787709,Racismo,"Léo Pereira, atleta da Associação Portuguesa de Desportos","Zagueiro Léo Pereira, da Lusa, foi ofendido no final da partida por um torcedor do Penapolense que imitou um macaco.","As imagens do repórter cinematográfico Eduardo Durú, da TV TEM, mostraram o momento em que um torcedor do time local imitava um macaco nas  arquibancadas ao protestar contra a falta de Léo Pereira. Após a imitação do macaco, o torcedor ainda ficou rindo ao lado de um colega da torcida. Ao fim da partida, Léo Pereira foi até o alambrado para discutir com o agressor. O episódio não foi relatado na súmula pelo árbitro Rafael Gomes Félix da Silva. Segundo a assessoria da Lusa, o jogador registraria ocorrência. Após a repercussão do caso, o presidente do CAP, Nilso Moreira, divulgou nota informando que o clube “lamenta e repudia” o episódio e que tentaria identificar o agressor. O torcedor foi identificado e se retratou, pedindo desculpas e dizendo estar arrependido pelo ato.","O clube Penapolense foi punido com multa mínima de R$ 1000,00 (hum mil reais) e o torcedor autor da ofensa racial foi banido pelo TJD, não podendo frequentar o estádio Tenente Carriço, em Penápolis, pelos próximos dois anos",Estádio Tenente Carriço (Tenentão),Físico,24/02/20,Penapolense x Portuguesa,Campeonato Paulista - Série A2,,,Penápolis/SP,,
06/2014,Marcelo Vieira da Silva Júnior, atleta da Seleção Brasileira de Futebol,44501,Racismo,"Marcelo Vieira da Silva Júnior, atleta da Seleção Brasileira de Futebol","Alguns internautas brasileiros xingaram o lateral brasileiro, Marcelo, nas redes sociais, em virtude do gol contra, feito por ele na partida de estreia da Seleção na Copa, contra a Croácia.","Frases como “tinha que ser preto”, “tira esse preto do jogo” e “se fosse branco não faria uma merda dessas”, foram lamentavelmente reproduzidas em várias redes sociais.","Não constam informações de que o caso tenha sido levado adiante, tão pouco que os agressores foram devidamente identificados. OBS; Caso apresentado no Relatório de 2014 como “Ocorrências na Copa”, não incluso na soma geral da época.",Rede Social - Twiter,Internet,12/06/14,,,,,,Internet,
08.2020,Léo Tilica, atleta da Sociedade Esportiva e Recreativa Caxias do Sul,393839,Racismo,"Léo Tilica, atleta da Sociedade Esportiva e Recreativa Caxias do Sul",O atacante Léo Tilica disse ter ouvido injúrias raciais vindas da arquibancada,"O episódio gerou uma confusão generalizada. Aos 39 minutos do segundo tempo, pouco tempo depois de ser substituído, o jogador do time do Caxias confrontou os torcedores e recebeu cusparadas de pessoas presentes naquele setor do estádio do São Luiz. O jogo foi interrompido por conta do tumulto que se formou, inclusive com o policiamento entrando em campo. Tilica deixou o campo chorando. A partida foi reiniciada seis minutos depois. O técnico do Caxias, Rafael Lacerda, lamentou o episódio e fez questão de defender seu jogador. A Federação Gaúcha de Futebol divulgou a súmula do árbitro Anderson Farias, que relatou o racismo sofrido pelo atacante Tilica. Não há informações sobre o registro de Boletim de Ocorrência (BO) em relação ao caso. O torcedor não foi identificado.","A equipe do São Luiz foi denunciada e julgada no STJD, sendo condenada em primeira instância a pagar uma multa de R$ 1000,00 (hum mil reais), além da perda de três pontos no próximo Campeonato Gaúcho. A Procuradoria recorreu e o São Luiz terminou sofrendo pena de R$ 5 mil de multa e a perda de dois mandos de campo.",Estádio 19 de Outubro,Físico,09/03/20,São Luiz x Caxias,Gaúcho,,,Ijuí/RS,,
1.2014,Lúcio,São Paulo-RS,106211,Racismo,Atleta Lúcio,"Goleiro Lucio do São Paulo-RS, diz que foi chamado de ""preto vagabundo"" e ""macaco"" por torcedores do Pelotas.",,O torcedor (não identificado) foi preso e proibido de entrar no estádio por 720 dias.,,,22/02/14,,Campeonato Gaúcho (RS),,,,,
1.2015,Aranha,Santos F.C.,75071,Racismo,"Aranha, , Santos F.C.","Após entrar na justiça devido a problemas trabalhistas com o clube, o atleta sofreu insultos racistas que foram publicados em uma comunidade de torcedores santistas no Facebook.",,"Caso não foi adiante, atleta não prestou queixa. Sem registro de ocorrência e sem identificação dos culpados.",,Internet,21/01/15,,,,,,,
1.2019,Clebio Querino, atleta do Bolamense Futebol Clube,,Racismo,"Clebio Querino, atleta do Bolamense Futebol Clube","Goleiro do Bolamense é vítima de racismo. Segundo o documento, disponibilizado no site oficial da FFDF (súmula da partida), o árbitro daquela partida, Christiano Nascimento, parou o confronto aos 37 minutos do segundo tempo após ser chamado por Clébio. O goleiro relatou que havia sido chamado de macaco por um membro da torcida organizada do Ceilândia, a Camisa 13. Perguntado sobre o motivo de não prosseguir com as medidas judiciais, Clebio alegou desânimo, principalmente por causa da não identificação do agressor. “Eu não quis fazer o Boletim de Ocorrência, tendo em vista que os policiais não identificaram na hora. Imagina depois. Se tivessem detido o rapaz, eu ajudaria o máximo para ele pagar pelo que fez. Mas, agora, passou. Deus sabe de todas as coisas”, crê.","Por meio de uma rede social, a torcida organizada Camisa 13 resolveu falar a respeito do assunto. Em nota divulgada, a torcida informa que o torcedor foi retirado do grupo de torcedores. “Lastimamos também que a atitude de um torcedor somente possa trazer problemas ao clube bem como manchar a imagem do clube e torcida. Informamos ainda que o torcedor envolvido não integra nossa torcida”, diz a nota.","Julgamento termina empatado e Ceilândia é inocentado de caso de racismo contra goleiro do Bolamense. Com o empate em 2×2 nos votos, de acordo com o artigo 132 do CBJD, prevalece a situação de que o resultado é sempre favorável ao denunciado e o presidente não pode dar o voto de desempate. Assim, o Ceilândia foi absolvido do caso e continuará jogando normalmente o Candangão 2019, TJD-DF.",Estádio Maria de Lourdes Abadia,Físico,03/02/19,Ceilândia x Bolamense,Brasiliense,,,Ceilândia/DF,,
1.2021,Jefferson Renan, atleta do Brusque Futebol Clube,351094,Racismo,"Jefferson Renan, atleta do Brusque Futebol Clube","Diretoria do Brusque Futebol Clube e Jefferson Renan acusaram um dirigente do Vila Nova de injúria racial Com mais ou menos 25 minutos do segundo tempo, Jefferson Renan sofreu uma falta, em que o Brusque entendeu que era para expulsão Após discussão e confusão, o dirigente (Vinícius Marinari, do Conselho de Administração de Patrimônio do Vila Nova) teria dito “levanta aí, seu macaco”, em referência a cor da pele de Jefferson Renan","Árbitro relatou as ofensas em súmula Imediatamente ao ocorrido, dirigentes do Brusque apresentaram queixa a um representante da Confederação Brasileira de Futebol (CBF) que estava no jogo Após o jogo, Jefferson Renan prestou depoimento em uma delegacia de Goiânia, e um Boletim de Ocorrência (BO) foi aberto Jefferson Renan também relatou que sofreu ameaças por dirigentes do Vila Nova Na delegacia, em entrevista para a Rádio Bandeirantes, Hugo Jorge Bravo, presidente do Vila Nova, disse que não passava de “mimimi”",Não foram divulgadas outras informações sobre a investigação do caso,Estádio Onésio Brasileiro Alvarenga (OBA),Físico,02/01/21,Vila Nova x Brusque,Brasileiro Série C,,,Goiânia/GO,,
1.2023,Victor Eduardo Rocha, atleta de futebol amador,,Racismo,"Victor Eduardo Rocha, atleta de futebol amador","Vitor, atleta amador, relatou que ao sair de campo ouviu o xingamento “macaco“, proferido por uma mulher que estava na arquibancada.","Após ouvir o xingamento, o atleta acionou a Polícia Militar. A mulher foi encaminhada até a delegacia, e durante depoimento, confessou que chamou o atleta de macaco, por achar que se tratava do apelido do mesmo, o que foi negado pelo atleta e testemunhas. A mulher foi presa em flagrante e encaminhada para o Presídio de Vespasiano, na Região Metropolitana de Belo Horizonte.",Não foram encontradas mais informações sobre a sequência do caso.,Quadra de Futebol,Físico,22/01/23,Sem Identificação,Sem Identificação,,,Belo Horizonte/MG,,
10.2014,Maicon,Londrina,214906,Racismo,Atleta Maicon,O radialista Lourival Santos foi acusado de chamar Maicon Silva do Londrina de macaco.,,Lourival Santos foi preso e afastado do emprego pela afiliada do SBT.,,,13/04/14,,Campeonato Paranaense (PR),,,,,
10.2015,Alberto,Interporto F.C.,80718,Racismo,"Alberto, , Interporto F.C.",Torcedores proferiram insultos racistas ao zagueiro Alberto.,,"O Guaraí foi multado em R$ 500,00 pelo TJD.",,Físico,28/03/15,Guaraí x Interporto,Campeonato Tocantinense,,,,,
10.2017,Kanu, Esporte Clube Vitória,86057,Racismo,Atleta Kanu - Esporte Clube Vitória,"Câmeras flagraram o zagueiro Lucas Fonseca, do Bahia, gesticulando com as mãos, fazendo referência ao possível mau cheiro do adversário, o zagueiro Kanu do Vitória.","O gesto repercutiu na mídia e torcedores pediram explicação por conside rarem que poderia ser um gesto classificado como racismo ou injuria racial. O gesto que indicava que o adversário estaria “fedido”, foi esclarecido por Luciano de que o Kanu estava com “bafo”. Kanu processou Lucas Fonseca por gesto depreciativo.","O caso foi levado adiante e um ano depois foi julgado no dia 11/04/2018, na 4ª Vara do Juizado Especial Criminal, em Salvador. Os advogados de Kanu alegaram que o fato causou sérios danos à imagem do atleta, que teria passado a ser chamado de “homem do bafo” nas redes sociais. Em defesa de Lucas Fonseca, o advogado pediu a extinção do processo por decadência, alegando que a queixa crime foi feita mais de seis meses após a data do fato. No entanto, não foi localizada a decisão final do processo, qual foi o veredito do juiz, se alguma das partes apresentou recurso e/ou quais foram as conclusões do processo.",Arena Fonte Nova (BA),Físico,09/04/17,Bahia x Vitória,Baiano,,,,,
10.2019,Emerson Carioca, atleta do Clube do Remo,681508,Racismo,"Emerson Carioca, atleta do Clube do Remo","Jogadores do Remo alegaram terem ouvido injúrias de cunho racial e regional - por defenderem um clube do Norte do país - de torcedores do Juventude durante a partida no Estádio Alfredo Jaconi, pela Série C do Brasileiro. Um dos principais alvos foi Emerson Carioca, que afirmou ter sido chamado de “macaco” no momento em que foi substituído, aos 31 minutos do segundo tempo.","Além das ofensas no momento do jogo, o torcedor do Remo foi vítima de comentários preconceituosos feitos em uma postagem no Facebook. Nela, o paraense foi chamado de “cabeça chata” e provocado a “dar uma flechada”. Nicolas, atleta do Paysandu, se manifestou contra os atos de racismo e xenofobia sofridos pelos atletas do rival paraense. A rivalidade entre Remo e Paysandu ficou de lado para dar espaço a algo muito maior, a empatia na luta por igualdade e contra o preconceito. Remo cita postagem do Paysandu e repudia racismo sofrido por jogador.",Não foram encontradas informações de procedimento aberto pela Justiça Desportiva (STJD) ou de abertura de inquérito policial.,Estádio Alfredo Jaconi,Físico,04/05/19,Juventude x Remo,Brasileiro Série C,,,Caxias do Sul/RS,,
10.2021,Alef Manga, atleta do Goiás Esporte Clube,612479,Racismo,"Alef Manga, atleta do Goiás Esporte Clube","Alef Manga, atleta do Goiás Esporte Clube, relatou que sofreu racismo por parte da torcida do Goiás “Começaram a xingar a gente (Manga e Paulo Egídio) de preto”","Procurada, a Força Jovem Goiás (FJG), principal torcida organizada esmeraldina, se posicionou por meio de Mateus Tobias, presidente da entidade “Sobre a acusação do Manga, é uma acusação muito grave, de uma coisa que não cabe mais no meio que vivemos. A nossa visão é que precisamos combater o racismo. Se ele tiver como provar, que vá na delegacia e leve isso adiante, pois não é uma simples acusação, é algo bastante grave”. Entretanto, o acusado seria de outra organizada, a Goiás Chopp.","O jogador, Alef Manga, preferiu não levar o caso adiante e declarou “Não vou processar ninguém, acho que já passou, não vou fazer nada disso, é uma situação que já ocorreu ” O caso não teve continuidade na esfera jurídica",Estádio Hailé Pinheiro (Serrinha),Físico,09/07/21,Goiás x Náutico,Brasileiro Série B,,,Goiânia/GO,,
10.2022,Erik César Tobias do Vale Amado, atleta da Sociedade Esportiva e Recreativa Caxias do Sul,874224,Racismo,"Erik César Tobias do Vale Amado, atleta da Sociedade Esportiva e Recreativa Caxias do Sul","Erik, zagueiro do Caxias, relatou ter sido vítima de racismo durante o aquecimento das equipes, as ofensas teriam sido proferidas por um torcedor do Juventude que estava na arquibancada.","Os presidentes do Caxias e do Juventude acionaram a Brigada Militar, após o jogador fazer a identificação do torcedor. O torcedor foi retirado do estádio antes do início da partida e encaminhado para delegacia. Eric registrou Boletim de Ocorrência (BO), mas optou por não dar prosseguimento no processo de acusação. Nas redes sociais o Caxias publicou uma nota repudiando o caso. O caso foi registrado pelo árbitro na súmula da partida.",O TJD-RS (Tribunal de Justiça Desportiva do Rio Grande do Sul) puniu o Juventude por injúria racial com pagamento de multa de R$ 5.000 mil reais e proibiu o torcedor de acessar o estádio pelo prazo de 720 dias. Não foram encontradas informações de recurso sobre a decisão.,Estádio Alfredo Jaconi,Físico,26/02/22,Juventude x Caxias,Gaúcho,,,Caxias do Sul/RS,,
10/2018,Dedé," Anderson Vital da Silva, atleta do Cruzeiro",113094,Racismo,"Dedé, Anderson Vital da Silva, atleta do Cruzeiro","Após o jogo entre Cruzeiro e Boca Juniors, pela Copa Libertadores da América, o zagueiro Dedé foi vítima de racismo na internet por parte de torcedores xeneizes. Termos como “macaco”, “negro asqueroso” entre outros foram vistos nas redes sociais.","Nenhum dos clubes, nem atleta comentaram sobre o caso.",Sem informações de qualquer punição aos envolvidos ou notificação da CONMEBOL.,Rede Social – Twitter,Internet,04/10/18,,,,,,Internet,
100.2022,Gabriel Cosme Nunes, atleta da Associação Atlética Flamengo,,LGBTfobia,"Gabriel Cosme Nunes, atleta da Associação Atlética Flamengo","Torcedores do Flamengo-SP gritaram “bicha” nas cobranças de tiros de meta cobrados pelo goleiro Gabriel, do Guarulhos.","O sistema de som do estádio alertou sobre uma possível punição ao time. Em súmula, o árbitro relatou gritos homofóbicos na reposição de bola do goleiro do Guarulhos, proferidos por parte da torcida da Associação Atlética Flamengo, durante o segundo tempo da partida.","Apesar do registro em súmula, não foram encontradas mais informações sobre o caso, tão pouco se houve julgamento por parte do TJD-SP (Tribunal de Justiça Desportiva de São Paulo) ou STJD (Superior Tribunal de Justiça Desportiva)",Estádio Antônio Soares de Oliveira,Físico,04/01/22,Guarulhos x Flamengo-SP,Copa São Paulo de Futebol Júnior,,,Guarulhos/SP,,
102.2022,Alexandre Joabe Carvalho das Chag, atleta do Oeste Futebol Clube,740291,LGBTfobia,"Alexandre Joabe Carvalho das Chag, atleta do Oeste Futebol Clube","Durante uma cobrança de tiro de meta pelo goleiro Alexandre, torcedores do Ibrachina gritaram “É BICHA”.","O fato foi relatado em súmula. Por unanimidade, o Comitê Disciplinar da Copa São Paulo multou em R$5.000 mil reais o Ibrachina Futebol Clube, por infração ao artigo 243-G, devido aos gritos homofóbicos.","Após recurso, o TJD-SP (Tribunal de Justiça Desportiva de São Paulo) decidiu reformar para R$1.000,00 (mil reais) a decisão do Comitê Disciplinar da Copa São Paulo que multava a agremiação em R$5.000,00 (cinco mil reais) por infração ao artigo 243-G, §2º do CBJD.",Ibrachina Arena,Físico,13/01/22,Ibrachina X Oeste,Copa São Paulo de Futebol Júnior,,,São Paulo/SP,,
102.2023,Indefinido, Atleta do Columbia Esporte Clube,,Racismo,"Indefinido, Atleta do Columbia Esporte Clube",Uma mulher teria gritado da arquibancada “Chuta a canela deste Preto” para um jogador do Columbia Esporte Clube.,"O jogador relatou o episódio ao árbitro da partida, resultando na suspensão do jogo. A polícia foi acionada, mas a mulher conseguiu fugir do local sem ser identificada. Duas testemunhas confirmaram o relato do jogador, e um boletim de ocorrência foi registrado.",Não foram encontradas informações sobre a sequência do caso.,Campo da Escola de Futebol do Rodrigo Posso -,Físico,25/11/23,Sem identificação,Sem identificação,,,Ipatinga/MG,,
103.2022,Leonardo Medeiros Guimaraes Rosa, atleta do Atlético Clube Goianiense,943265,LGBTfobia,"Leonardo Medeiros Guimaraes Rosa, atleta do Atlético Clube Goianiense","Torcedores do que estavam atrás da goleira em que estava o goleiro Leonardo, do Atlético-GO, entoaram gritos homofóbicos quando o atleta se dirigia para a reposição de bola.","O fato foi relatado em súmula. Por unanimidade, o Comitê Disciplinar da Copa São Paulo multou em R$5.000 mil reais o Água Santa, por infração ao artigo 243-G, devido aos gritos homofóbicos.","Após recurso, o TJD- -SP (Tribunal de Justiça Desportiva de São Paulo) decidiu absolver a agremiação da decisão do Comitê Disciplinar da Copa São Paulo que multava o clube em R$5.000,00 (cinco mil reais) por infração ao artigo 243- G, §2º do CBJD.",Estádio Municipal Jose Batista Pereira Fernandes,Físico,13/01/22,Atlético-GO X Água Santa,Copa São Paulo de Futebol Júnior,,,Diadema/SP,,
104.2022,João Paulo Campos Bicalho, atleta do Canaã Esporte Clube,1092000,LGBTfobia,"João Paulo Campos Bicalho, atleta do Canaã Esporte Clube","Em duas ocasiões, quando o goleiro João Paulo do Canaã se dirigiu para cobrar o tiro de meta, torcedores do Juventus gritaram gritou “Éééé Bicha”.",O fato foi relatado em súmula.,"Por unanimidade o TJD-SP (Tribunal de Justiça Desportiva de São Paulo) multou em R$5.000,00 (cinco mil reais) o Clube Atlético Juventus, por infração ao artigo 243-G devido aos gritos homofóbicos. Não foram encontradas informações se houve recurso por parte do clube condenado",Estádio Conde Rodolfo Crespi,Físico,15/01/22,Canaã (BA) X Juventus,Copa São Paulo de Futebol Júnior,,,São Paulo/SP,,
104.2023,Pablo Henrique, atleta de futebol amador,,Racismo,"Pablo Henrique, atleta de futebol amador","Durante uma partida de futebol, enquanto cobrava um escanteio, o jogador Pablo Henrique foi chamado de “macaco” e “pau de fumo” por um torcedor.","Após o término da partida, a Polícia Militar foi acionada e o autor dos insultos foi preso em flagrante. O atleta registrou um boletim de ocorrência.","Em relação ao boletim de ocorrência, por ser um caso do âmbito criminal, ele corre em segredo de justiça, sem ter como obter informações do seu desenrolar.",Sem identificação,Físico,30/12/23,Sem identificação -,Torneio de Famílias,,,Cachoeira Dourada/ GO,,
105.2023,Kayky da Silva Chagas, atacante do Esporte Clube Bahia,668265,Racismo,"Kayky da Silva Chagas, atacante do Esporte Clube Bahia","Um torcedor do Vitória, fez uma postagem na rede social X, comparando oatacante Kayky, do Bahia, com um macaco.","Após a repercussão, a postagem foi removida. Em nota, o Bahia expressou seu repúdio ao incidente e comunicou que denunciou a conta na rede social e registrou um boletim de ocorrência. O Vitória não se pronunciou sobre o caso.","Não foram encontradas informações sobre a sequência do caso. Em relação ao boletim de ocorrência, por se tratar de um caso no âmbito criminal, ele corre em segredo de justiça, impossibilitando a obtenção de informações sobre seu desenrolar.",Rede Social/X (antigo Twitter),Internet,30/01/23,,,,,,,
106.2023,Luan," atleta do São Paulo, é vítima de racismo em rede social",574904,Racismo,"Luan, atleta do São Paulo, é vítima de racismo em rede social","O volante Luan, do São Paulo, compartilhou em seu perfil no Instagram uma mensagem que recebeu de um usuário o chamando de “macaco”.",,"Não foram encontradas informações sobre a sequência do caso. Em relação ao boletim de ocorrência, por se tratar de um caso no âmbito criminal, ele corre em segredo de justiça, impossibilitando a obtenção de informações sobre seu desenrolar.",Rede Social/Instagram,Internet,26/02/23,,,,,,,
107.2023,Robert Renan," Robert Renan Alves Barbosa, atleta da Seleção Brasileira de Futebol",958598,Racismo,"Robert Renan, Robert Renan Alves Barbosa, atleta da Seleção Brasileira de Futebol","Nas redes sociais, o zagueiro Robert Renan expôs mensagens recebidas por direct contendo emojis de macacos e ofensas como “negro” e “macaco” em espanhol, após o jogo contra a Tunísia pelo Mundial Sub-20na Argentina.","Em nota, a CBF condenou o ato e informou que enviou uma representação à FIFA em protesto contra os atos racistas sofridos pelo zagueiro. A entidade informou ainda, que protocolou os perfis dos autores das ofensas e enviaria à justiça local e à FIFA, pedindo punições.",Não foram encontradas mais informações sobre a sequência do caso.,Rede Social/Instagram,Internet,31/05/23,,,,,,,
108.2022,João Pedro Oliveira Queiroz de Campos, atleta do Osvaldo Cruz Futebol Clube,723544,LGBTfobia,"João Pedro Oliveira Queiroz de Campos, atleta do Osvaldo Cruz Futebol Clube","Torcedores do Santacruzense gritaram ‘’ooooooooo bicha’’ para o goleiro João Pedro, do Osvaldo Cruz, quando ele cobrou o tiro de meta.",O fato foi relatado em súmula pelo árbitro Pedro Henrique Alves de Paula e a partida foi paralisada por oito minutos o para os procedimentos cabíveis e também sendo necessário a presença da Polícia Militar.,"Por unanimidade, o TJD-SP (Tribunal de Justiça Desportiva de São Paulo) puniu o Santacruzense com multa no valor de R$ 20 mil reais por infração ao artigo 243-G, §s 1º e 2º, por duas vezes. O clube entrou com recurso e a decisão do Tribunal manteve a multa estipulada.",Estádio Conde Rodolfo Crespi (Estádio da Rua Javari),Físico,24/04/22,Santacruzense X Osvaldo Cruz,Paulista Sub-23 (Segunda Divisão),,,Santa Cruz do Rio Pardo/SP,,
108.2023,Bruno Mezenga," Bruno Ferreira Mombra Rosa, atleta do Santos Futebol Clube",54044,Racismo,"Bruno Mezenga, Bruno Ferreira Mombra Rosa, atleta do Santos Futebol Clube","Bruno Mezenga, atacante do Santos, foi chamado de “macaco” em um grupo de torcedores do clube em um aplicativo de mensagens.","O registro da conversa foi enviado ao empresário do jogador, que comunicou o Santos sobre o caso. O jogador registrou um boletim de ocorrência. Em nota, o jogador condenou o ato. Nas redes sociais, o Santos manifestou apoio ao jogador, repudiou o ato e informou que o autor da ofensa foi identificado. Uma investigação foi aberta pela Polícia Civil. À Justiça, o torcedor confessou o ato e afirmou que procurou o clube e o atleta pedindo desculpas.","O torcedor foi condenado a uma pena de reclusão de dois anos, mas a punição foi substituída pela prestação de serviços a uma entidade pelo mesmo período e ao pagamento de um salário mínimo a uma entidade social. Não foram encontradas informações sobre se o torcedor recorreu da decisão.",Rede Social/WhatsApp,Internet,01/06/23,,,,,,,
11.2014,Reinaldo,Luverdense,,Racismo,Atleta Reinaldo,"Durante a primeira rodada da série B, o atacante Reinaldo, do Luverdense, acusou os torcedores do Vila Nova-GO de o chamarem de macaco.",,Não temos a informação,,,18/04/14,,Campeonato Brasileiro – Série B – Goiás (GO),,,,,
