,ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,gols_sofridos,clean_sheets,minutos
10,227671,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Goalkeeper,29,3000000,Brazil,/queretaro-fc/startseite/verein/4961/saison_id/2019,Querétaro FC,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2019,Liga MX Apertura,/fc-sao-paulo/startseite/verein/585/saison_id/2019,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019,Série A,4500000,2019,right,"Dec 19, 1990 (34)",Blumenau,"2, Brazil, Mexico",1.89,0,0,2018,80,79,1.44,,0,,,,2,,,71,29,7110
11,227671,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Goalkeeper,31,2500000,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2022,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2022,Série A,/deportivo-toluca/startseite/verein/1804/saison_id/2022,Toluca,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2022,Liga MX Apertura,2500000,2022,right,"Dec 19, 1990 (34)",Blumenau,"2, Brazil, Mexico",1.89,0,0,2021,23,7,1.71,,0,,,,1,,,10,2,630
12,103747,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Goalkeeper,25,800000,Brazil,/cf-uniao-madeira/startseite/verein/976/saison_id/2014,União Madeira,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2014,Anápolis,,Brazil,0,2014,right,"Nov 21, 1989 (35)",Rio de Janeiro,"2, Brazil, Portugal",1.85,0,0,2013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
13,103747,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Goalkeeper,25,800000,Brazil,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2015,Anápolis,,Brazil,/sociedade-esportiva-do-gama-df-/startseite/verein/7014/saison_id/2015,SE Gama,,Brazil,0,2015,right,"Nov 21, 1989 (35)",Rio de Janeiro,"2, Brazil, Portugal",1.85,0,0,2014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
14,103747,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Goalkeeper,26,800000,Brazil,/sociedade-esportiva-do-gama-df-/startseite/verein/7014/saison_id/2016,SE Gama,,Brazil,/castanhal-esporte-clube-pa-/startseite/verein/20799/saison_id/2016,Castanhal,,Brazil,0,2016,right,"Nov 21, 1989 (35)",Rio de Janeiro,"2, Brazil, Portugal",1.85,0,0,2015,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
15,53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,750000,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,,Brazil,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2014,Remo,,Brazil,0,2014,right,"Nov 25, 1983 (41)",Bauru,"1, Brazil",1.89,1,0,2013,29,23,1.39,,0,,,1,1,,,28,5,2013
16,53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,750000,Brazil,/america-futebol-clube-rn-/startseite/verein/1751/saison_id/2014,América-RN,,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,,Brazil,0,2014,right,"Nov 25, 1983 (41)",Bauru,"1, Brazil",1.89,1,0,2013,29,23,1.39,,0,,,1,1,,,28,5,2013
17,53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,33,750000,Brazil,/villa-nova-atletico-clube-mg-/startseite/verein/5215/saison_id/2016,Villa Nova,,Brazil,/ceara-sporting-club/startseite/verein/2029/saison_id/2016,Ceará SC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2016,Série B,0,2016,right,"Nov 25, 1983 (41)",Bauru,"1, Brazil",1.89,1,0,2015,4,4,0.75,,0,,,,,,,7,1,360
18,53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,33,750000,Brazil,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2016,Remo,,Brazil,/villa-nova-atletico-clube-mg-/startseite/verein/5215/saison_id/2016,Villa Nova,,Brazil,0,2016,right,"Nov 25, 1983 (41)",Bauru,"1, Brazil",1.89,1,0,2015,4,4,0.75,,0,,,,,,,7,1,360
19,54323,/wilson/profil/spieler/54323,Wilson,Goalkeeper,31,600000,Brazil,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,EC Vitória,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0,2014,right,"Jan 31, 1984 (40)",Santo André,"1, Brazil",1.85,0,0,2013,31,26,0.88,,0,,,1,2,,,31,5,2295
